Date,Mysore,Kodagu,Mandya,Hassan
18-Sep-11,0.35,3.06,0.47,2.07
19-Sep-11,2.35,21.58,0.36,2.07
20-Sep-11,0.94,5.99,9.42,4.14
21-Sep-11,5.84,3.65,2.35,0.63
22-Sep-11,0.3,3.25,0.12,0.82
23-Sep-11,0.18,1.95,0,0.18
24-Sep-11,0.02,0.27,0,0.02
25-Sep-11,0,0,0,0
26-Sep-11,0,0,0,0
27-Sep-11,0.02,0.27,0,0.02
28-Sep-11,0.01,0.13,0,0
29-Sep-11,0,0,0,0
30-Sep-11,0,0,0,0
01-Oct-11,3.2,1.5,8.28,8.85
02-Oct-11,8.75,2.21,15.8,8.84
03-Oct-11,0.17,2.12,1.18,7.15
04-Oct-11,0.05,0,1.33,0.01
05-Oct-11,0,0,0,0
06-Oct-11,0,0,0,0
07-Oct-11,0,0,0.09,0.43
08-Oct-11,0.94,0.16,1.43,0.09
09-Oct-11,4.2,2.02,1.61,8.41
10-Oct-11,16.96,6.49,8.5,4.81
11-Oct-11,12.9,9.22,8.69,13.8
12-Oct-11,3.24,5.79,5.14,13.37
13-Oct-11,18.91,14.05,14.13,4.75
14-Oct-11,0.1,0.19,4.66,19.32
15-Oct-11,6.88,9.46,5.02,29.55
16-Oct-11,2.98,7.14,1.68,12.24
17-Oct-11,0.02,0.35,0,0.56
18-Oct-11,0.34,3.4,0,0.32
19-Oct-11,0.04,0.18,0,0
20-Oct-11,0.05,0.04,0,0
21-Oct-11,3.07,2.81,6.46,0.92
22-Oct-11,0.53,4.93,0,0.35
23-Oct-11,0,0,0,0
24-Oct-11,21.18,34.72,18.99,8.6
25-Oct-11,10.14,6.9,8.66,11.19
26-Oct-11,5.25,7.26,9.97,19.38
27-Oct-11,0.16,0.98,0.51,2.49
28-Oct-11,5.13,20.21,7.36,12.64
29-Oct-11,0.41,1.02,0.26,5.34
30-Oct-11,10.1,11.29,9.38,6.7
31-Oct-11,1.19,0.79,2.18,2.7
01-Nov-11,1.23,0.62,2.92,1
02-Nov-11,7.49,13.2,6.06,6.86
03-Nov-11,11.4,14.71,10.09,6.64
04-Nov-11,25.6,12.8,17.36,15.77
